ArraySize,Threads,ExecutionTime
10000,2,0.00290712
10000,4,0.00240038
10000,6,0.00185883
10000,8,0.00169158
50000,2,0.00750154
50000,4,0.0064325
50000,6,0.00647212
50000,8,0.00636704
100000,2,0.0126576
100000,4,0.0129745
100000,6,0.0130034
100000,8,0.0128542
500000,2,0.0651943
500000,4,0.0642017
500000,6,0.0641712
500000,8,0.0790869
1000000,2,0.127216
1000000,4,0.129193
1000000,6,0.127822
1000000,8,0.128544
5000000,2,0.668148
5000000,4,0.667007
5000000,6,0.730884
5000000,8,0.672093
10000000,2,1.35461
10000000,4,1.32668
10000000,6,1.35299
10000000,8,1.33316
