MatrixSize,Threads,RandomValuesTime,LinearValuesTime
1000,2,0.00412583,0.00315404
1000,4,0.0013721,0.00128412
1000,8,0.00119281,0.000977039
1000,16,0.00115204,0.000818014
2000,2,0.00751305,0.00750303
2000,4,0.00387383,0.00380278
2000,8,0.00345087,0.00346398
2000,16,0.00265408,0.00244284
3000,2,0.0168531,0.0168779
3000,4,0.00861192,0.00893807
3000,8,0.00817609,0.00715303
3000,16,0.00834799,0.00630999
4000,2,0.0299759,0.029515
4000,4,0.015326,0.0151191
4000,8,0.0147152,0.0132568
4000,16,0.0104089,0.0111611
5000,2,0.046963,0.046906
5000,4,0.023737,0.0247941
5000,8,0.018111,0.018105
5000,16,0.0182331,0.0161698
6000,2,0.0649288,0.0667191
6000,4,0.0342388,0.034472
6000,8,0.025372,0.0263011
6000,16,0.024951,0.0264571
7000,2,0.0912328,0.0921381
7000,4,0.046391,0.0459878
7000,8,0.0375221,0.035779
7000,16,0.0718648,0.029489
8000,2,0.12189,0.119048
8000,4,0.0622468,0.0617752
8000,8,0.048028,0.050889
8000,16,0.041342,0.044688
