MatrixSize,Threads,BlockSize,ExecutionTime
1000,2,128,2.1859
1000,2,256,2.15262
1000,2,512,2.11973
1000,4,128,1.12993
1000,4,256,1.16014
1000,4,512,1.12575
1000,8,128,0.77414
1000,8,256,0.789764
1000,8,512,1.12493
1000,16,128,0.647827
1000,16,256,0.668768
1000,16,512,1.13305
2000,2,128,16.2857
2000,2,256,17.5997
2000,2,512,16.9969
2000,4,128,8.35345
2000,4,256,8.89909
2000,4,512,8.76516
2000,8,128,6.05036
2000,8,256,6.24473
2000,8,512,6.22302
2000,16,128,5.58842
2000,16,256,5.4503
2000,16,512,5.59543
4000,2,128,119.606
4000,2,256,134.147
4000,2,512,139.842
4000,4,128,61.3877
4000,4,256,69.1074
4000,4,512,71.6726
4000,8,128,42.1853
4000,8,256,46.7881
4000,8,512,48.8329
4000,16,128,38.0013
4000,16,256,40.9442
4000,16,512,42.6989
8000,2,128,1070.6
8000,2,256,1199.1
8000,2,512,1762.42
8000,4,128,555.648
8000,4,256,959.843
8000,4,512,1029.04
8000,8,128,411.653
8000,8,256,522.002
8000,8,512,664.525
8000,16,128,358.588
8000,16,256,480.955
8000,16,512,585.978
